squirrelFish.1,squirrelFish.2,squirrelFish.3,squirrelFish.4,squirrelFish.5,waterClarity,coralDensity,waterDepth,current.1,current.2,current.3,current.4,current.5
0,0,0,0,0,0.026817782,0.671676931,Shallow,-0.925149778,0.086065476,-0.268178533,-1.305437356,2.147809505
0,0,0,0,0,0.809597015,-0.27881496,Shallow,-0.576498215,0.28558665,-0.20785265,-0.851810377,1.522049164
0,0,0,0,0,-1.467837796,-0.380383774,Shallow,-0.425364942,-1.462131088,-0.85548646,0.207344063,1.107658541
0,0,0,0,0,-0.271319167,-0.924325409,Shallow,-0.358364492,0.473674121,0.572006071,-1.611964193,0.525660663
0,0,0,0,0,-0.630284532,-0.429544164,Shallow,-2.213836911,0.467498509,0.947534892,-1.599915016,0.72225339
0,0,1,0,0,0.595764342,1.197891867,Shallow,-0.037205061,-1.431762697,-0.199112473,1.092500763,-0.722094798
0,0,0,0,0,-0.839478969,-1.380568086,Shallow,0.778490361,-1.826607735,-0.342639257,-2.662088635,-0.448871308
0,0,0,0,0,-0.397594735,0.507754905,Shallow,-0.373933864,0.874787389,-0.667731805,0.075561358,1.6744401
0,0,0,0,0,-0.885174676,0.084331542,Shallow,-1.111047142,0.589862442,1.142761784,0.776226808,-0.916871449
0,0,0,0,0,-0.901519716,0.050994729,Shallow,-0.178120445,-0.306651198,-0.804435179,-0.921729074,-1.654709695
0,0,0,0,0,1.183201801,-0.74102274,Shallow,0.237282571,0.849920429,-0.311906348,0.54500305,0.970314208
0,0,0,0,0,-0.593487833,1.485172276,Shallow,-0.876719014,-2.00105662,0.517842218,0.929447467,0.271641779
0,0,0,0,0,-2.23174474,-0.744912371,Shallow,-0.508527731,0.416422496,-0.973718123,1.239251881,-0.689741915
0,0,0,0,0,0.44184762,-2.123845839,Shallow,-1.097673528,0.721794354,-0.695104015,0.147492655,-0.240051751
0,0,0,0,0,1.621489659,-1.113722709,Shallow,1.998449312,0.312193014,-0.345957843,-0.088722027,0.000867256
0,0,0,0,0,-0.149919375,-0.693975551,Shallow,-1.002790881,0.948882907,-1.971840402,-0.772807449,-1.891972973
1,0,0,1,0,1.954077478,0.034931139,Shallow,0.267925186,-0.360088524,0.325269708,-0.737361019,0.443698908
0,0,0,0,0,-0.143227905,-1.818858517,Shallow,-0.242336989,0.711038095,0.018120468,-2.266138637,-0.945172191
0,0,0,0,0,-1.793368735,-1.754809663,Shallow,1.128343543,0.481894225,0.119233918,1.185854177,-0.713402003
0,1,0,1,0,1.769002485,0.108439212,Shallow,-0.211213744,-0.261614344,0.084323808,-0.060018088,-0.804767945
0,1,1,1,0,1.024524728,0.322279703,Shallow,-0.901553575,-1.007238436,1.968555443,1.269741594,-0.973527768
0,0,0,0,0,-0.589118648,-0.066257159,Shallow,-1.548686004,0.643901802,-0.482554027,0.437688414,1.6981942
0,0,0,0,0,0.772192536,-0.406001397,Shallow,-0.840679065,-0.022201006,-0.947927494,1.157690001,0.248177205
0,0,0,0,0,1.58450567,-0.514913225,Shallow,0.800820108,0.652079028,-0.118977225,-0.445328524,0.127088517
0,0,0,0,0,-0.428591573,-0.213228177,Shallow,-0.589358306,-0.600759323,-0.23654843,-0.502879368,0.186443997
0,0,0,0,0,-1.459443174,-0.317322724,Shallow,-0.927378723,-1.917521758,0.466264134,-1.104792824,0.029194482
0,0,0,0,0,-0.998781949,-1.612520186,Shallow,1.229713881,-0.534679363,-0.543131433,-0.691742916,0.814110872
1,0,0,0,0,0.681088514,-0.494431967,Shallow,0.229445956,-0.821353619,0.825939882,0.508354836,0.195100298
0,0,0,0,0,0.283210585,-0.981006111,Shallow,1.598853952,-0.255311156,0.012304256,-0.014742589,-1.190291132
0,0,0,0,0,0.008315869,-0.062787806,Shallow,1.252220039,-0.381565424,0.876599114,1.624800426,1.329712041
0,0,0,0,0,-2.756320362,-0.392001947,Shallow,-2.143200278,-0.873824507,-0.671158662,-0.208944223,0.545320321
